Name,Year,Genre,Publisher,Sales North America,Sales Europe,Sales Japan,Sales other regions,Sales worldwide,Platform,Console Developer
Prince of Persia: The Two Thrones,2005,Action,Ubisoft,0.11,0.03,0.0,0.0,0.15,GameCube,Nintendo
Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,2011,Adventure,Banpresto,0.0,0.0,0.15,0.0,0.15,PlayStation Portable,Sony
Baseball Blast!,2009,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,Nintendo Wii,Nintendo
Pac-Man World 3,2005,Platform,Namco Bandai Games,0.11,0.04,0.0,0.01,0.15,Xbox,Microsoft
The Walking Dead: Season Two,2014,Adventure,Telltale Games,0.1,0.0,0.01,0.03,0.15,PlayStation Vita,Sony
Harvest Moon: Hero of Leaf Valley,2009,Simulation,Rising Star Games,0.07,0.02,0.05,0.02,0.15,PlayStation Portable,Sony
Phantasy Star Online Episode I & II,2003,Role-Playing,Sega,0.11,0.03,0.0,0.01,0.15,Xbox,Microsoft
F1 2012,2012,Racing,Codemasters,0.01,0.11,0.0,0.03,0.15,Personal Computer,Various
Rayman Raving Rabbids,2007,Misc,Ubisoft,0.13,0.01,0.0,0.01,0.15,Nintendo DS,Nintendo
Kung-Fu: High Impact,2011,Action,Black Bean Games,0.08,0.06,0.0,0.01,0.15,Xbox 360,Microsoft
SNK Arcade Classics Vol. 1,2008,Misc,Ignition Entertainment,0.13,0.0,0.01,0.01,0.15,PlayStation Portable,Sony
Darkstalkers Chronicle: The Chaos Tower,2004,Fighting,Capcom,0.13,0.0,0.0,0.01,0.15,PlayStation Portable,Sony
NHL 2K10,2009,Sports,Take-Two Interactive,0.11,0.02,0.0,0.01,0.15,Xbox 360,Microsoft
Batman Begins,2005,Action,Electronic Arts,0.11,0.03,0.0,0.0,0.15,GameCube,Nintendo
Toy Story Racer,2001,Racing,Activision,0.08,0.06,0.0,0.01,0.15,PlayStation,Sony
Yakuza: Ishin,2014,Action,Sega,0.0,0.0,0.15,0.0,0.15,PlayStation 4,Sony
F1 2011,2011,Racing,Codemasters,0.03,0.08,0.01,0.03,0.15,PlayStation Vita,Sony
Disney's Donald Duck: Goin' Quackers,2000,Platform,Ubisoft,0.08,0.06,0.0,0.01,0.15,PlayStation,Sony
Mobile Suit Gundam: Perfect One Year War,1997,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.01,0.15,PlayStation,Sony
Galerians,1999,Adventure,Crave Entertainment,0.08,0.06,0.0,0.01,0.15,PlayStation,Sony
Crash: Twinsanity,2004,Platform,Vivendi Games,0.11,0.03,0.0,0.01,0.15,Xbox,Microsoft
DrumMania,2000,Simulation,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,PlayStation 2,Sony
Yu-Gi-Oh! Nightmare Troubadour (US sales),2005,Action,Konami Digital Entertainment,0.15,0.0,0.0,0.0,0.15,Nintendo DS,Nintendo
Code:Realize - Sousei no Himegimi,2014,Adventure,Idea Factory,0.09,0.0,0.03,0.03,0.15,PlayStation Vita,Sony
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,2013,Action,Nippon Columbia,0.0,0.0,0.15,0.0,0.15,Nintendo 3DS,Nintendo
Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.08,0.06,0.0,0.01,0.15,Xbox One,Microsoft
Arena Football,2006,Sports,Electronic Arts,0.11,0.03,0.0,0.01,0.15,Xbox,Microsoft
Tamagotchi no Narikiri Channel,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,Nintendo DS,Nintendo
Power Pro Kun Pocket 1+2,2004,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.15,Game Boy Advance,Nintendo
Rayman Origins,2012,Platform,Ubisoft,0.06,0.08,0.0,0.01,0.15,Nintendo 3DS,Nintendo
Thor: God of Thunder,2011,Action,Sega,0.09,0.04,0.0,0.01,0.15,Xbox 360,Microsoft
Medal of Honor: Infiltrator,2003,Shooter,Electronic Arts,0.11,0.04,0.0,0.0,0.15,Game Boy Advance,Nintendo
Risen 2: Dark Waters,2012,Role-Playing,Deep Silver,0.05,0.08,0.0,0.01,0.15,Xbox 360,Microsoft
Blazing Dragons,1996,Adventure,Crystal Dynamics,0.08,0.06,0.0,0.01,0.15,PlayStation,Sony
Geometry Wars: Galaxies,2007,Shooter,Vivendi Games,0.13,0.0,0.0,0.01,0.15,Nintendo DS,Nintendo
Super Monkey Ball Deluxe,2005,Misc,Sega,0.11,0.03,0.0,0.01,0.15,Xbox,Microsoft
Shin Megami Tensei: Devil Summoner - Soul Hackers,1999,Role-Playing,Atlus,0.0,0.0,0.14,0.01,0.15,PlayStation,Sony
Shin Chan: ¡Aventuras de Cine!,2008,Platform,505 Games,0.0,0.0,0.15,0.0,0.15,Nintendo DS,Nintendo
Alien: Isolation,2014,Shooter,Sega,0.0,0.13,0.0,0.01,0.15,Personal Computer,Various
High Velocity Bowling,2010,Sports,Sony Computer Entertainment,0.13,0.0,0.0,0.01,0.15,PlayStation 3,Sony
Tamagotchi Collection,2011,Misc,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,Nintendo DS,Nintendo
Pac-Man Party 3D,2011,Misc,Namco Bandai Games,0.09,0.04,0.0,0.01,0.15,Nintendo 3DS,Nintendo
"NewU Fitness First Mind Body, Yoga & Pilates Workout",2010,Sports,Black Bean Games,0.12,0.02,0.0,0.01,0.15,Nintendo Wii,Nintendo
Backyard Sports: Sandlot Sluggers,2010,Sports,Atari,0.14,0.0,0.0,0.01,0.15,Nintendo DS,Nintendo
Turbo Prop Racing,1997,Racing,Sony Computer Entertainment,0.08,0.06,0.0,0.01,0.15,PlayStation,Sony
Barbie Superpack: Secret Agent / Groovy Games,2005,Misc,Vivendi Games,0.1,0.04,0.0,0.0,0.15,Game Boy Advance,Nintendo
Tom Clancy's Ghost Recon,2003,Shooter,Ubisoft,0.11,0.03,0.0,0.0,0.15,GameCube,Nintendo
Dance Dance Revolution (North America),2001,Simulation,Konami Digital Entertainment,0.08,0.06,0.0,0.01,0.15,PlayStation,Sony
Bakugan Battle Brawlers: Defenders of the Core,2010,Action,Activision,0.11,0.02,0.0,0.01,0.15,Xbox 360,Microsoft
Mad Dash Racing,2001,Racing,Eidos Interactive,0.11,0.03,0.0,0.01,0.15,Xbox,Microsoft
Dreamworks 2-in-1 Party Pack,2010,Misc,Activision,0.14,0.0,0.0,0.01,0.15,Nintendo DS,Nintendo
Summon Night 5,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,PlayStation Portable,Sony
MotoGP 2: Ultimate Racing Technology,2001,Racing,Sony Computer Entertainment,0.07,0.06,0.0,0.02,0.15,PlayStation 2,Sony
Black * Rock Shooter: The Game,2011,Role-Playing,Unknown,0.0,0.0,0.15,0.0,0.15,PlayStation Portable,Sony
Travel Games For Dummies,2008,Misc,Electronic Arts,0.13,0.0,0.0,0.01,0.15,Nintendo DS,Nintendo
BMX XXX,2002,Sports,Acclaim Entertainment,0.07,0.06,0.0,0.02,0.15,PlayStation 2,Sony
SafeCracker: The Ultimate Puzzle Adventure,2009,Puzzle,The Adventure Company,0.07,0.06,0.0,0.01,0.15,Nintendo DS,Nintendo
Tiger Woods PGA Tour,2004,Sports,Electronic Arts,0.13,0.0,0.0,0.01,0.15,Nintendo DS,Nintendo
Dragon Ball Z: Idainaru Dragon Ball Densetsu,1995,Fighting,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,Sega Saturn,Sega
Sonic Advance & Sonic Pinball Party Combo Pack,2005,Misc,Sega,0.1,0.04,0.0,0.0,0.15,Game Boy Advance,Nintendo
Boktai: The Sun is in Your Hand,2003,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,0.15,Game Boy Advance,Nintendo
Cars: Mater-National Championship,2007,Racing,THQ,0.13,0.0,0.0,0.01,0.15,Xbox 360,Microsoft
Making History: The Great War,2010,Strategy,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,Nintendo Wii,Nintendo
Drawn to Life Collection,2010,Misc,THQ,0.14,0.0,0.0,0.01,0.15,Nintendo DS,Nintendo
Guilty Gear X2 #Reload,2004,Fighting,Zoo Digital Publishing,0.11,0.03,0.0,0.01,0.15,Xbox,Microsoft
Wizardry VII: Gadeia no Houshu,1995,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.14,0.01,0.15,PlayStation,Sony
Dynasty Warriors 8: Xtreme Legends,2013,Action,Tecmo Koei,0.04,0.03,0.05,0.02,0.15,PlayStation Vita,Sony
Moshi Monsters: Katsuma Unleashed,2013,Action,Activision,0.0,0.13,0.0,0.02,0.15,Nintendo DS,Nintendo
Elf: The Movie,2004,Action,Crave Entertainment,0.1,0.04,0.0,0.0,0.15,Game Boy Advance,Nintendo
Metal Slug 7,2008,Shooter,Ignition Entertainment,0.13,0.0,0.01,0.01,0.15,Nintendo DS,Nintendo
MLB SlugFest 20-03,2002,Sports,Midway Games,0.11,0.03,0.0,0.0,0.15,GameCube,Nintendo
Tamagotchi no Appare! Niji Venture,2007,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,Nintendo DS,Nintendo
Grabbed by the Ghoulies,2003,Action,Microsoft Game Studios,0.11,0.03,0.0,0.01,0.14,Xbox,Microsoft
Ys: The Oath in Felghana,2010,Role-Playing,Falcom Corporation,0.09,0.0,0.04,0.01,0.14,PlayStation Portable,Sony
Shadow Hearts: From The New World,2005,Role-Playing,Ghostlight,0.07,0.06,0.0,0.02,0.14,PlayStation 2,Sony
Mega Man Powered Up,2006,Platform,Capcom,0.12,0.01,0.0,0.02,0.14,PlayStation Portable,Sony
CSI: 3 Dimensions of Murder,2007,Adventure,Ubisoft,0.07,0.06,0.0,0.02,0.14,PlayStation 2,Sony
Barbarian,2002,Fighting,Titus,0.07,0.06,0.0,0.02,0.14,PlayStation 2,Sony
QuickSpot,2006,Misc,Namco Bandai Games,0.02,0.0,0.13,0.0,0.14,Nintendo DS,Nintendo
Deception IV: Blood Ties,2014,Action,Tecmo Koei,0.03,0.03,0.07,0.02,0.14,PlayStation Vita,Sony
Tennis no Oji-Sama: Aim at The Victory!,2002,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14,Game Boy Advance,Nintendo
L.A. Rush,2005,Racing,Midway Games,0.11,0.03,0.0,0.01,0.14,Xbox,Microsoft
"Lunar 2: Eternal Blue(sales, but wrong system)",1994,Role-Playing,Game Arts,0.0,0.0,0.14,0.0,0.14,Genesis (Mega Drive),Sega
Where the Wild Things Are,2009,Platform,Warner Bros. Interactive Entertainment,0.13,0.0,0.0,0.01,0.14,Nintendo DS,Nintendo
Pipe Dreams 3D,2001,Puzzle,Empire Interactive,0.08,0.05,0.0,0.01,0.14,PlayStation,Sony
Derby Stallion Gold,2014,Sports,Kadokawa Shoten,0.0,0.0,0.14,0.0,0.14,Nintendo 3DS,Nintendo
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,Action,D3Publisher,0.1,0.03,0.0,0.01,0.14,Nintendo 3DS,Nintendo
Lost Dimension,2014,Role-Playing,Nippon Ichi Software,0.07,0.03,0.02,0.03,0.14,PlayStation Vita,Sony
Fox Sports Golf '99,1997,Sports,Gremlin Interactive Ltd,0.08,0.05,0.0,0.01,0.14,PlayStation,Sony
Jurassic: The Hunted,2009,Shooter,Activision,0.07,0.06,0.0,0.02,0.14,PlayStation 2,Sony
Power Rangers: Super Legends,2007,Action,Disney Interactive Studios,0.07,0.06,0.0,0.02,0.14,PlayStation 2,Sony
Sakura Wars GB,2000,Adventure,Media Factory,0.0,0.0,0.14,0.0,0.14,Game Boy,Nintendo
Shining Force CD,1994,Strategy,Sega,0.0,0.0,0.14,0.0,0.14,Sega CD,Sega
Rayman 3,2003,Platform,Ubisoft,0.1,0.04,0.0,0.0,0.14,Game Boy Advance,Nintendo
Fatal Frame,2001,Action,Wanadoo,0.07,0.06,0.0,0.02,0.14,PlayStation 2,Sony
The Fifth Element,1998,Action,Sony Computer Entertainment,0.08,0.05,0.0,0.01,0.14,PlayStation,Sony
Kung Fu Panda 2,2011,Action,THQ,0.08,0.05,0.0,0.01,0.14,Nintendo Wii,Nintendo
Fast Food Panic,2010,Simulation,Nobilis,0.13,0.0,0.0,0.01,0.14,Nintendo DS,Nintendo
Diner Dash: Flo on the Go,2009,Puzzle,Zoo Games,0.13,0.0,0.0,0.01,0.14,Nintendo DS,Nintendo
Adrenalin Misfits,2010,Racing,Konami Digital Entertainment,0.12,0.02,0.0,0.01,0.14,Xbox 360,Microsoft
Okaeri! Chibi-Robo! Happy Richie Oosouji,2009,Adventure,Nintendo,0.0,0.0,0.14,0.0,0.14,Nintendo DS,Nintendo
Wild ARMs 4,2005,Role-Playing,505 Games,0.07,0.06,0.0,0.02,0.14,PlayStation 2,Sony
Haunted House,2010,Action,Atari,0.13,0.0,0.0,0.01,0.14,Nintendo Wii,Nintendo
Ratatouille,2007,Action,THQ,0.11,0.03,0.0,0.0,0.14,GameCube,Nintendo
G.I. Joe: The Rise of Cobra,2009,Action,Electronic Arts,0.11,0.0,0.0,0.03,0.14,PlayStation 2,Sony
Casper: Spirit Dimensions,2001,Platform,TDK Mediactive,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Super Robot Taisen OG Saga: Endless Frontier (JP sales),2008,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,Nintendo DS,Nintendo
Sengoku Musou 3 Empires,2011,Action,Tecmo Koei,0.0,0.0,0.14,0.0,0.14,PlayStation 3,Sony
Dream Pinball 3D,2008,Misc,SouthPeak Games,0.1,0.03,0.0,0.01,0.14,Nintendo Wii,Nintendo
Thunder Truck Rally,1997,Racing,Psygnosis,0.08,0.05,0.0,0.01,0.14,PlayStation,Sony
Dishonored,2015,Action,Bethesda Softworks,0.08,0.05,0.0,0.01,0.14,Xbox One,Microsoft
Klonoa: Empire of Dreams,2001,Platform,Infogrames,0.1,0.04,0.0,0.0,0.14,Game Boy Advance,Nintendo
G.I. Joe: The Rise of Cobra,2009,Action,Electronic Arts,0.11,0.02,0.0,0.02,0.14,PlayStation Portable,Sony
Dragon Age: Origins - Ultimate Edition,2010,Role-Playing,Electronic Arts,0.0,0.12,0.0,0.02,0.14,Personal Computer,Various
Balloon Pop,2009,Puzzle,UFO Interactive,0.13,0.0,0.0,0.01,0.14,Nintendo DS,Nintendo
Disney Infinity 2.0: Marvel Super Heroes,2015,Action,Disney Interactive Studios,0.0,0.11,0.0,0.03,0.14,PlayStation Vita,Sony
Iron & Blood,1996,Fighting,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14,PlayStation,Sony
Asphalt: Urban GT 2,2006,Racing,Ubisoft,0.09,0.04,0.0,0.01,0.14,Nintendo DS,Nintendo
Pinball Hall of Fame: The Gottlieb Collection,2006,Misc,System 3 Arcade Software,0.13,0.0,0.0,0.01,0.14,Nintendo Wii,Nintendo
Second Sight,2004,Adventure,Codemasters,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Spider-Man: Edge of Time,2011,Action,Activision,0.12,0.01,0.0,0.01,0.14,Nintendo DS,Nintendo
Monster House,2006,Adventure,THQ,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Phantom Brave,2004,Role-Playing,Tecmo Koei,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Just Cause,2006,Action,Eidos Interactive,0.1,0.03,0.01,0.01,0.14,Xbox 360,Microsoft
ArmA II,2009,Shooter,505 Games,0.0,0.12,0.0,0.03,0.14,Personal Computer,Various
Championship Motocross 2001 featuring Ricky Carmichael,2001,Racing,THQ,0.08,0.05,0.0,0.01,0.14,PlayStation,Sony
Kenka Banchou 5: Otoko no Housoku,2011,Action,Spike,0.0,0.0,0.14,0.0,0.14,PlayStation Portable,Sony
Legend of the Guardians: The Owls of Ga'Hoole,2010,Action,Warner Bros. Interactive Entertainment,0.11,0.02,0.0,0.01,0.14,Nintendo DS,Nintendo
Doshin the Giant,2002,Simulation,Nintendo,0.0,0.0,0.14,0.0,0.14,GameCube,Nintendo
Shrek 2 and Shark Tale 2-in-1 Pack,2005,Misc,Activision,0.1,0.04,0.0,0.0,0.14,Game Boy Advance,Nintendo
Star Ocean: Blue Sphere,2001,Role-Playing,Enix Corporation,0.0,0.0,0.14,0.0,0.14,Game Boy,Nintendo
Mojo!,2003,Puzzle,Mindscape,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Destroy All Humans! Big Willy Unleashed,2008,Action,THQ,0.13,0.0,0.0,0.01,0.14,Nintendo Wii,Nintendo
Age of Empires: Collector's Edition,2000,Strategy,Ubisoft,0.02,0.1,0.0,0.02,0.14,Personal Computer,Various
Ford Racing Off Road,2008,Racing,Xplosiv,0.05,0.08,0.0,0.02,0.14,PlayStation Portable,Sony
Kamen Rider Ryuki,2002,Action,Namco Bandai Games,0.0,0.0,0.13,0.01,0.14,PlayStation,Sony
Front Mission Alternative,1997,Strategy,SquareSoft,0.0,0.0,0.13,0.01,0.14,PlayStation,Sony
World Championship Poker: Howard Lederer - All In,2006,Misc,505 Games,0.13,0.0,0.0,0.01,0.14,PlayStation Portable,Sony
FIFA Soccer 2005,2004,Sports,Electronic Arts,0.11,0.03,0.0,0.0,0.14,GameCube,Nintendo
Cave Story 3D,2011,Platform,Nippon Ichi Software,0.09,0.03,0.01,0.01,0.14,Nintendo 3DS,Nintendo
The Orange Box,2007,Shooter,Electronic Arts,0.0,0.11,0.0,0.03,0.14,Personal Computer,Various
Super Dodgeball Brawlers,2008,Sports,Arc System Works,0.13,0.0,0.0,0.01,0.14,Nintendo DS,Nintendo
Victorious Boxers: Revolution,2007,Fighting,Ubisoft,0.07,0.0,0.06,0.01,0.14,Nintendo Wii,Nintendo
Record of Agarest War 2,2010,Role-Playing,Compile Heart,0.09,0.0,0.04,0.01,0.14,PlayStation 3,Sony
SBK 2011: FIM Superbike World Championship,2011,Racing,Black Bean Games,0.01,0.1,0.0,0.03,0.14,PlayStation 3,Sony
Power Stone,1998,Fighting,Eidos Interactive,0.0,0.0,0.14,0.0,0.14,Dreamcast,Sega
Jonny Moseley Mad Trix,2001,Sports,3DO,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Monster Lab,2008,Role-Playing,Eidos Interactive,0.12,0.01,0.0,0.01,0.14,Nintendo DS,Nintendo
Uta no * Prince-Sama: Repeat,2011,Adventure,Broccoli,0.0,0.0,0.14,0.0,0.14,PlayStation Portable,Sony
Senran Kagura Burst: Guren no Sh?jo-tachi,2012,Action,Marvelous Entertainment,0.0,0.0,0.14,0.0,0.14,Nintendo 3DS,Nintendo
MTV Music Generator 3: This Is the Remix,2004,Misc,Codemasters,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Cake Mania 3,2009,Simulation,Majesco Entertainment,0.13,0.0,0.0,0.01,0.14,Nintendo DS,Nintendo
.hack//Link,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,PlayStation Portable,Sony
Terminator 3: Rise of the Machines,2003,Action,Atari,0.11,0.03,0.0,0.01,0.14,Xbox,Microsoft
Star Wars: Knights of the Old Republic,2003,Role-Playing,LucasArts,0.01,0.1,0.0,0.02,0.14,Personal Computer,Various
SSX On Tour,2005,Sports,Electronic Arts,0.11,0.03,0.0,0.01,0.14,Xbox,Microsoft
NCAA College Basketball 2K3,2002,Sports,Sega,0.11,0.03,0.0,0.01,0.14,Xbox,Microsoft
Class of Heroes,2008,Role-Playing,Acquire,0.06,0.0,0.08,0.01,0.14,PlayStation Portable,Sony
Yogi Bear: The Video Game,2010,Action,D3Publisher,0.1,0.03,0.0,0.01,0.14,Nintendo DS,Nintendo
The Legend of Heroes II: Prophecy of the Moonlight Witch,2004,Role-Playing,Namco Bandai Games,0.03,0.0,0.11,0.0,0.14,PlayStation Portable,Sony
Cranium Kabookii,2007,Misc,Ubisoft,0.13,0.0,0.0,0.01,0.14,Nintendo Wii,Nintendo
Hero's Saga Laevatein Tactics,2008,Role-Playing,GungHo,0.13,0.0,0.0,0.01,0.14,Nintendo DS,Nintendo
Doom,2001,Shooter,Activision,0.1,0.04,0.0,0.0,0.14,Game Boy Advance,Nintendo
Gundam Breaker 2,2014,Action,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,PlayStation 3,Sony
TRINITY: Souls of Zill O'll,2010,Role-Playing,Ubisoft Annecy,0.06,0.03,0.03,0.02,0.14,PlayStation 3,Sony
Mary-Kate and Ashley: Winners Circle,2001,Action,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14,PlayStation,Sony
PaRappa The Rapper 2,2001,Misc,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Hexyz Force,2009,Role-Playing,Atlus,0.07,0.0,0.06,0.01,0.14,PlayStation Portable,Sony
OutRun 2,2004,Racing,Sega,0.11,0.03,0.0,0.01,0.14,Xbox,Microsoft
Okami,2012,Action,Capcom,0.0,0.0,0.14,0.0,0.14,PlayStation 3,Sony
Marvel vs. Capcom 2: New Age of Heroes,2000,Fighting,Virgin Interactive,0.0,0.0,0.14,0.0,0.14,Dreamcast,Sega
Hitman: Blood Money,2006,Action,Eidos Interactive,0.11,0.03,0.0,0.01,0.14,Xbox,Microsoft
Soukaigi,1998,Role-Playing,SquareSoft,0.0,0.0,0.13,0.01,0.14,PlayStation,Sony
Naruto Shippuden: Ninja Destiny 3,2006,Fighting,D3Publisher,0.0,0.01,0.13,0.0,0.14,Nintendo DS,Nintendo
Xevious 3D/G+,1997,Shooter,Sony Computer Entertainment,0.01,0.01,0.11,0.01,0.14,PlayStation,Sony
Pipe Mania,2008,Puzzle,Empire Interactive,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Gretzky NHL 06,2005,Sports,Sony Computer Entertainment,0.13,0.0,0.0,0.01,0.14,PlayStation Portable,Sony
Shonen Jump's Shaman King: Master of Spirits,2004,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,0.14,Game Boy Advance,Nintendo
PANGYA: Fantasy Golf,2009,Sports,Takara Tomy,0.09,0.0,0.04,0.01,0.14,PlayStation Portable,Sony
NFL Blitz 20-03,2002,Sports,Midway Games,0.11,0.03,0.0,0.01,0.14,Xbox,Microsoft
Sumikko Gurashi: Omise Hajimerundesu,2015,Action,Nippon Columbia,0.0,0.0,0.14,0.0,0.14,Nintendo 3DS,Nintendo
Pirates: The Legend of Black Kat,2002,Adventure,Electronic Arts,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Fur Fighters: Viggo's Revenge,2001,Action,Acclaim Entertainment,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Krull,1982,Action,Atari,0.13,0.01,0.0,0.0,0.14,Atari 2600,Atari
Yu-Gi-Oh! Monster Capture GB,2000,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14,Game Boy,Nintendo
Risen,2009,Role-Playing,Deep Silver,0.0,0.11,0.0,0.03,0.14,Personal Computer,Various
Top Spin 3,2008,Action,D3Publisher,0.11,0.02,0.0,0.01,0.14,Nintendo DS,Nintendo
Zapper: One Wicked Cricket!,2002,Platform,Infogrames,0.1,0.04,0.0,0.0,0.14,Game Boy Advance,Nintendo
The Da Vinci Code,2006,Action,Take-Two Interactive,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Watch Dogs,2014,Action,Ubisoft,0.08,0.05,0.0,0.01,0.14,Nintendo Wii U,Nintendo
Mr. Driller: Drill Spirits,2004,Puzzle,Nintendo,0.08,0.0,0.05,0.01,0.14,Nintendo DS,Nintendo
Arctic Tale,2007,Adventure,Zoo Digital Publishing,0.13,0.0,0.0,0.01,0.14,Nintendo DS,Nintendo
Scooby-Doo! Night of 100 Frights,2003,Platform,THQ,0.11,0.03,0.0,0.01,0.14,Xbox,Microsoft
MX vs. ATV Reflex,2009,Racing,THQ,0.13,0.0,0.0,0.01,0.14,Nintendo DS,Nintendo
Anno 1701: Dawn of Discovery,2007,Simulation,Touchstone,0.07,0.06,0.0,0.02,0.14,Nintendo DS,Nintendo
Chicken Shoot,2007,Action,Zoo Digital Publishing,0.13,0.0,0.0,0.01,0.14,Nintendo DS,Nintendo
Dead to Rights,2002,Shooter,Electronic Arts,0.11,0.03,0.0,0.0,0.14,GameCube,Nintendo
Sphinx and the Cursed Mummy,2003,Action,THQ,0.11,0.03,0.0,0.0,0.14,GameCube,Nintendo
Cabela's Outdoor Adventures (2009),2009,Sports,Activision Value,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,1998,Adventure,Sunsoft,0.08,0.05,0.0,0.01,0.14,PlayStation,Sony
Naruto RPG 2: Chidori vs Rasengan,2005,Role-Playing,Tomy Corporation,0.0,0.0,0.14,0.0,0.14,Nintendo DS,Nintendo
Destruction Derby Raw,2000,Racing,Sony Computer Entertainment,0.08,0.05,0.0,0.01,0.14,PlayStation,Sony
Project V6,1998,Strategy,General Entertainment,0.0,0.0,0.13,0.01,0.14,PlayStation,Sony
Farming Simulator 2012,2012,Action,Excalibur Publishing,0.0,0.12,0.0,0.02,0.14,Nintendo 3DS,Nintendo
NFL Head Coach 09,2008,Sports,Electronic Arts,0.13,0.0,0.0,0.01,0.14,PlayStation 3,Sony
World Tour Soccer 2003,2002,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Akiba's Trip,2011,Adventure,Acquire,0.0,0.0,0.14,0.0,0.14,PlayStation Portable,Sony
Bravo Air Race,1997,Racing,THQ,0.08,0.05,0.0,0.01,0.14,PlayStation,Sony
Onimusha Essentials,2008,Action,Capcom,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Blazing Angels 2: Secret Missions of WWII,2007,Simulation,Ubisoft,0.11,0.02,0.0,0.01,0.14,Xbox 360,Microsoft
Gundam: The Battle Master,1997,Fighting,Namco Bandai Games,0.0,0.0,0.13,0.01,0.14,PlayStation,Sony
Spyro: A Hero's Tail,2004,Platform,Vivendi Games,0.11,0.03,0.0,0.01,0.14,Xbox,Microsoft
¡Shin Chan Flipa en colores!,2007,Platform,505 Games,0.0,0.0,0.14,0.0,0.14,Nintendo DS,Nintendo
Just Cause 3,2015,Action,Square Enix,0.03,0.11,0.0,0.01,0.14,Personal Computer,Various
Eternal Poison,2008,Role-Playing,Banpresto,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Lord of the Rings: Tactics,2005,Strategy,Electronic Arts,0.11,0.02,0.0,0.02,0.14,PlayStation Portable,Sony
X-Blades,2009,Action,SouthPeak Games,0.1,0.02,0.02,0.01,0.14,Xbox 360,Microsoft
Gretzky NHL 06,2005,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Gungrave: Overdose,2004,Shooter,Play It,0.07,0.05,0.0,0.02,0.14,PlayStation 2,Sony
Kidou Senshi Gundam: Shin Gihren no Yabou,2011,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,PlayStation Portable,Sony
How to Train Your Dragon,2010,Action,Activision,0.11,0.02,0.0,0.01,0.14,Xbox 360,Microsoft
Your Shape: Fitness Evolved 2013,2012,Action,Ubisoft,0.06,0.07,0.0,0.01,0.14,Nintendo Wii U,Nintendo
My Fitness Coach: Club,2011,Sports,Ubisoft,0.0,0.1,0.0,0.04,0.14,PlayStation 3,Sony
NBA ShootOut 2002,2001,Sports,Sony Computer Entertainment,0.08,0.05,0.0,0.01,0.14,PlayStation,Sony
SingStar Vol. 3,2008,Misc,Sony Computer Entertainment,0.0,0.11,0.0,0.03,0.14,PlayStation 3,Sony
